,MUNICÍPIO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
0,IRANDUBA,23,9,24,21,26,19,14,28,23,18,6,0,211
1,MANACAPURU,2,0,1,5,29,44,0,0,4,4,6,52,147
2,HUMAITA,7,10,12,26,13,8,3,8,12,12,4,2,117
3,RIO PRETO DA EVA,0,9,7,9,4,6,9,10,4,8,3,0,69
4,MANAQUIRI,4,2,8,1,1,0,3,2,7,0,0,0,28
5,AUTAZES,0,0,0,3,1,7,7,4,0,0,0,2,24
6,N. I,1,0,0,0,0,0,0,0,1,0,3,0,5
7,PRESIDENTE FIGUEIREDO,0,1,2,1,0,0,0,3,2,2,0,0,11
8,MANACAPURU-MULHER,0,0,0,0,0,0,0,0,8,0,0,0,8
9,NOVA OLINDA DO NORTE,0,0,0,0,0,0,0,0,7,0,0,0,7
10,URUCARA,0,0,0,0,0,0,0,3,4,0,0,0,7
11,ITACOATIARA,1,2,0,0,1,0,0,0,2,0,0,0,6
12,CAREIRO DA VARZEA,3,0,2,0,0,0,0,0,0,0,0,0,5
13,TONATINS,0,0,0,0,3,0,0,0,0,0,0,0,3
14,TEFE,0,0,0,0,0,0,0,2,0,0,0,0,2
15,CAREIRO,0,0,0,1,0,0,0,0,1,0,0,0,2
16,ANAMA,0,0,0,0,0,0,0,0,0,0,0,2,2
17,NOVO AIRAO,0,0,0,0,0,2,0,0,0,0,0,0,2
18,CODAJAS,0,0,0,0,0,0,0,0,0,0,0,1,1
19,CANUTAMA,0,0,0,0,0,0,0,0,0,0,0,0,0
20,TOTAL 2019,41,33,56,67,78,86,36,60,75,44,22,59,657
