,NATUREZA,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
0,INJÚRIA,322.0,317.0,386.0,348.0,360.0,383.0,402.0,393.0,624.0,603.0,577.0,673.0,5.388
1,AMEAÇA,422.0,313.0,406.0,377.0,400.0,316.0,375.0,389.0,594.0,572.0,548.0,599.0,5.311
2,LESÃO CORPORAL,175.0,154.0,211.0,177.0,194.0,163.0,189.0,193.0,283.0,253.0,239.0,261.0,2.492
3,VIAS DE FATO,145.0,129.0,180.0,137.0,135.0,136.0,136.0,139.0,222.0,231.0,234.0,254.0,2.0780000000000003
4,PERTURBAÇÃO TRANQUILID,123.0,118.0,123.0,104.0,124.0,107.0,104.0,116.0,135.0,152.0,140.0,148.0,1.494
5,DANO,24.0,23.0,16.0,29.0,17.0,17.0,12.0,22.0,42.0,29.0,35.0,56.0,322.0
6,DIFAMAÇÃO,14.0,15.0,28.0,19.0,22.0,17.0,14.0,9.0,30.0,36.0,17.0,24.0,245.0
7,VIOLAÇÃO DE DOMICÍLIO,4.0,12.0,18.0,9.0,10.0,9.0,12.0,8.0,23.0,16.0,11.0,21.0,153.0
8,FURTO,5.0,4.0,10.0,9.0,6.0,6.0,10.0,8.0,9.0,9.0,11.0,9.0,96.0
9,ROUBO,8.0,5.0,8.0,4.0,7.0,7.0,4.0,9.0,1.0,10.0,3.0,4.0,70.0
10,CALÚNIA,5.0,5.0,4.0,4.0,8.0,1.0,4.0,4.0,10.0,4.0,3.0,9.0,61.0
11,CONSTRANGIMENTO ILEGAL,3.0,2.0,2.0,1.0,4.0,6.0,5.0,3.0,6.0,11.0,2.0,4.0,49.0
12,ESTUPRO,4.0,1.0,5.0,4.0,2.0,1.0,2.0,1.0,7.0,4.0,4.0,4.0,39.0
13,MAUS-TRATOS,2.0,6.0,2.0,2.0,0.0,3.0,4.0,7.0,3.0,1.0,4.0,3.0,37.0
14,SEQUESTRO E CÁRCERE PRIV,0.0,0.0,1.0,4.0,2.0,1.0,3.0,4.0,7.0,3.0,2.0,4.0,31.0
15,ESTUPRO DE VULNERÁVEL,1.0,0.0,5.0,3.0,2.0,1.0,3.0,4.0,5.0,2.0,3.0,2.0,31.0
16,APROP. INDÉBITA,1.0,1.0,2.0,6.0,3.0,0.0,2.0,2.0,1.0,2.0,4.0,2.0,26.0
17,IMPORTUNAÇÃO SEXUAL,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,14.0
18,RETENÇÃO DE DOCUMENTOS,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,13.0
19,PERT. DO TRABALHO OU SOSSEGO ALHEIOS,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,12.0
20,ABANDONO DE INCAPAZ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,6.0
21,ASSEDIO SEXUAL,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
22,EXTORSÃO,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
23,INCENDIO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
24,OMISSAO DE SOCORRO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
25,SATISF. DE LASC. MED.PRES. DE CRIANÇA OU ADOLESCENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,CORRUPÇÃO DE MENORES,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,REGISTRO NÃO AUTORIZADO DA INT. SEXUAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
28,FEMINICIDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,TOTAL 2019,1.264,1.105,1.411,1.238,1.3,1.176,1.284,1.317,2.009,1.945,1.847,2.088,17.984
