MUNICÍPIO,FEMINICIDIO,HOMICIDIO DOLOSO,HOMICÍDIO DOLOSO COM INDÍCIO DE EXCLUDENTE DE ILICITUDE,HOMICÍDIO DOLOSO NO TRÂNSITO,HOMICÍDIO OCORRIDO EM PRESÍDIO,LESAO CORPORAL SEGUIDA DE MORTE,,ROUBO COM RESULTADO MORTE - (LATROCINIO),TENTATIVA DE HOMICIDIO,ESTUPRO
ABAIRA,,0,0,0,0,0,0,0,0,0
ABARE,,0,2,0,0,0,0,0,1,1
ACAJUTIBA,,0,9,0,0,0,0,0,2,5
ADUSTINA,,2,0,0,0,0,0,0,2,1
AGUA FRIA,,0,5,0,0,0,0,0,6,3
AIQUARA,,0,1,0,0,0,0,0,1,2
ALAGOINHAS,,1,57,0,0,0,0,2,39,34
ALCOBAÇA,,0,6,0,0,0,0,0,4,4
ALMADINA,,0,2,0,0,0,0,0,0,2
AMARGOSA,,0,3,0,0,0,0,0,3,3
AMELIA RODRIGUES,,0,7,0,0,0,0,1,3,2
AMERICA DOURADA,,0,3,0,0,0,0,0,3,1
ANAGE,,0,0,0,0,0,0,0,0,7
ANDARAI,,0,4,0,0,0,0,1,0,2
ANDORINHA,,1,2,0,0,0,0,0,4,1
ANGICAL,,0,1,0,0,0,0,0,0,2
ANGUERA,,0,4,0,0,0,0,0,4,1
ANTAS,,0,4,0,0,0,0,0,4,1
ANTONIO CARDOSO,,0,3,0,0,0,0,0,1,5
ANTONIO GONÇALVES,0,5,0,0,0,0,0,2,0,
APORA,0,6,0,0,0,0,0,0,0,
APUAREMA,0,1,0,0,0,0,0,1,2,
ARACATU,0,4,0,0,0,0,0,1,2,
ARACI,0,4,0,0,0,0,1,6,15,
ARAMARI,0,2,0,0,0,0,0,0,1,
ARATACA,0,5,0,0,0,0,0,0,0,
ARATUIPE,0,2,0,0,0,0,0,1,0,
ARAÇAS,0,5,0,0,0,0,0,3,5,
AURELINO LEAL,0,8,0,0,0,0,1,3,1,
BAIANOPOLIS,1,1,0,0,0,0,0,2,3,
BAIXA GRANDE,0,5,0,0,0,0,0,4,0,
BANZAE,0,0,0,0,0,0,0,0,0,
BARRA,0,4,0,0,0,0,2,8,0,
BARRA DA ESTIVA,1,0,0,0,0,0,0,0,2,
BARRA DO CHOÇA,0,14,0,0,0,0,0,5,9,
BARRA DO MENDES,0,1,0,0,0,0,0,3,6,
BARRA DO ROCHA,0,1,0,0,0,0,0,0,1,
BARREIRAS,0,37,0,0,0,1,1,33,13,
BARRO ALTO,0,1,0,0,0,0,0,0,0,
BARRO PRETO,0,3,0,0,0,0,0,0,0,
BARROCAS,0,1,0,0,0,0,0,1,2,
BELMONTE,0,11,0,0,0,0,0,11,13,
BELO CAMPO,0,2,0,0,0,0,0,1,6,
BIRITINGA,0,3,0,0,0,0,1,1,2,
BOA NOVA,0,2,0,0,0,0,0,0,0,
BOA VISTA DO TUPIM,0,6,0,0,0,0,0,5,1,
BOM JESUS DA LAPA,0,16,0,0,0,0,0,13,0,
BOM JESUS DA SERRA,0,1,0,0,0,0,0,1,1,
BONINAL,0,0,0,0,0,0,0,0,0,
BONITO,0,1,0,0,0,0,0,0,3,
BOQUIRA,0,0,0,0,0,0,0,1,0,
BOTUPORA,0,0,0,0,0,0,0,1,0,
BREJOES,0,0,0,0,0,0,0,1,7,
BREJOLANDIA,0,0,0,0,0,0,0,0,0,
BROTAS DE MACAUBAS,0,1,0,0,0,0,0,0,1,
BRUMADO,0,6,0,0,0,0,0,6,5,
BUERAREMA,0,2,0,0,0,0,0,12,3,
BURITIRAMA,0,2,0,0,0,0,0,0,0,
CAATIBA,0,0,0,0,0,0,0,0,2,
CABACEIRAS DO PARAGUAÇU,0,5,0,0,0,0,0,2,0,
CACHOEIRA,0,6,0,0,0,1,0,1,2,
CACULE,0,1,0,0,0,1,0,0,11,
CAEM,0,5,0,0,0,0,0,0,0,
CAETANOS,0,0,0,0,0,0,0,0,0,
CAETITE,0,4,0,0,0,0,0,6,11,
CAFARNAUM,0,4,0,0,0,0,0,0,0,
CAIRU,0,8,0,0,0,0,0,4,3,
CALDEIRAO GRANDE,0,0,0,0,0,0,0,0,0,
CAMACAN,0,8,0,0,0,0,0,1,0,
CAMAMU,1,15,0,0,0,0,0,0,3,
CAMAÇARI,2,159,0,0,0,1,4,34,66,
CAMPO ALEGRE DE LOURDES,1,1,0,0,0,0,0,0,4,
CAMPO FORMOSO,0,10,0,0,0,1,0,8,9,
CANAPOLIS,0,0,0,0,0,0,0,1,0,
CANARANA,0,3,0,0,0,0,0,5,2,
CANAVIEIRAS,1,14,0,0,0,0,1,2,1,
CANDEAL,0,2,0,0,0,0,0,2,1,
CANDEIAS,0,45,0,0,0,3,0,15,6,
CANDIBA,0,1,0,0,0,1,0,0,0,
CANDIDO SALES,0,2,0,0,0,0,0,1,4,
CANSANÇAO,0,6,0,0,0,0,1,8,1,
CANUDOS,0,5,0,0,0,0,0,2,1,
CAPELA DO ALTO ALEGRE,0,3,0,0,0,0,0,3,4,
CAPIM GROSSO,0,14,0,0,0,1,1,3,5,
CARAIBAS,0,1,0,0,0,0,0,0,1,
CARAVELAS,0,4,0,0,0,0,0,1,3,
CARDEAL DA SILVA,0,0,0,0,0,0,0,1,1,
CARINHANHA,0,5,0,0,0,0,0,5,4,
CASA NOVA,0,19,0,0,0,0,0,10,0,
CASTRO ALVES,0,6,0,0,0,0,0,10,1,
CATOLANDIA,0,1,0,0,0,0,0,1,0,
CATU,0,13,0,0,0,0,0,7,2,
CATURAMA,0,1,0,0,0,0,0,1,6,
CENTRAL,,0,1,0,0,0,1,0,0,5
CHORROCHO,,0,1,0,0,0,0,1,1,0
CICERO DANTAS,,1,6,0,0,0,0,0,7,1
CIPO,,1,1,0,0,0,0,0,3,1
COARACI,,0,5,0,0,0,0,0,3,10
COCOS,,0,0,0,0,0,0,0,1,1
CONCEIÇAO DA FEIRA,,0,11,0,0,0,0,0,0,0
CONCEIÇAO DO ALMEIDA,,0,3,0,0,0,0,0,1,3
CONCEIÇAO DO COITE,,0,11,0,0,0,0,3,13,10
CONCEIÇAO DO JACUIPE,,0,13,1,0,0,0,0,14,5
CONDE,,0,2,0,0,0,0,0,4,3
CONDEUBA,,1,1,0,0,0,0,0,3,1
CONTENDAS DO SINCORA,,0,0,0,0,0,0,0,0,0
CORAÇAO DE MARIA,,0,5,0,0,0,0,0,5,4
CORDEIROS,,0,0,0,0,0,0,0,0,0
CORIBE,,0,1,0,0,0,0,0,0,6
CORONEL JOAO SA,,0,1,0,0,0,0,0,2,2
CORRENTINA,,0,5,1,0,0,0,0,2,3
COTEGIPE,,0,2,0,0,0,0,0,0,0
CRAVOLANDIA,,0,0,0,0,0,0,0,0,3
CRISOPOLIS,,0,3,0,0,0,0,0,6,2
CRISTOPOLIS,,0,3,0,0,0,0,0,0,0
CRUZ DAS ALMAS,,0,4,1,0,0,0,0,3,7
CURAÇA,,1,6,0,0,0,0,0,3,4
DARIO MEIRA,,0,4,0,0,0,0,0,1,4
DIAS D AVILA,,0,57,1,0,0,0,1,20,12
DOM BASILIO,,0,0,0,0,0,0,0,1,0
DOM MACEDO COSTA,,0,0,0,0,0,0,0,1,0
ELISIO MEDRADO,,0,0,0,0,0,0,0,0,0
ENCRUZILHADA,,0,7,0,0,0,0,1,1,4
